id_compra,sello,codigo_pasta,cantidad_kg,precio_unitario
38,FR-001,P004,3.201,2175.21
38,FR-001,P022,3.648,3951.28
38,FR-001,P011,1.728,5701.69
38,FR-001,P025,3.739,2230.34
39,FR-001,P026,1.557,3671.15
39,FR-001,P023,4.178,2068.71
39,FR-001,P003,1.744,7536.54
39,FR-001,P018,2.333,3257.14
40,FR-001,P013,0.854,2887.94
40,FR-001,P017,3.295,3991.58
41,FR-001,P002,1.531,2583.81
41,FR-001,P018,3.157,3257.14
41,FR-001,P004,4.131,2175.21
42,FR-001,P002,1.16,2583.81
42,FR-001,P006,1.176,3327.57
42,FR-001,P026,2.887,3671.15
43,FR-001,P012,0.516,6583.14
43,FR-001,P017,1.23,3991.58
44,FR-001,P021,2.71,5382.5
44,FR-001,P006,1.846,3327.57
44,FR-001,P017,4.649,3991.58
45,FR-001,P002,3.412,2583.81
45,FR-001,P016,0.668,2683.15
45,FR-001,P023,3.509,2068.71
46,FR-001,P026,3.995,3671.15
46,FR-001,P007,4.157,8153.66
46,FR-001,P012,4.582,6583.14
46,FR-001,P009,1.951,2340.99
47,FR-001,P023,1.605,2068.71
47,FR-001,P016,4.571,2683.15
47,FR-001,P009,2.936,2340.99
48,FR-001,P026,0.411,3671.15
48,FR-001,P019,2.279,5152.69
48,FR-001,P008,4.082,2661.77
49,FR-001,P014,0.291,7229.51
50,FR-001,P013,2.845,2887.94
50,FR-001,P010,0.848,1954.6
51,FR-001,P012,2.448,6583.14
51,FR-001,P026,1.332,3671.15
51,FR-001,P007,4.458,8153.66
51,FR-001,P016,4.988,2683.15
52,FR-001,P021,0.348,5382.5
52,FR-001,P026,0.728,3671.15
52,FR-001,P013,0.826,2887.94
53,FR-001,P001,4.334,3623.94
53,FR-001,P015,1.453,5107.98
53,FR-001,P006,4.894,3327.57
54,FR-001,P020,0.457,8754.39
54,FR-001,P014,3.839,7229.51
55,FR-001,P019,4.211,5152.69
56,FR-001,P005,3.78,3436.6
56,FR-001,P021,2.476,5382.5
57,FR-001,P013,1.963,2887.94
57,FR-001,P005,4.706,3436.6
58,FR-001,P023,2.515,2068.71
59,FR-001,P004,2.123,2175.21
59,FR-001,P022,0.52,3951.28
60,FR-001,P012,3.333,6583.14
60,FR-001,P002,1.348,2583.81
61,FR-001,P008,3.088,2661.77
61,FR-001,P022,4.689,3951.28
61,FR-001,P021,1.479,5382.5
62,FR-001,P005,2.973,3436.6
62,FR-001,P015,0.988,5107.98
62,FR-001,P018,4.642,3257.14
63,FR-001,P003,4.574,7536.54
63,FR-001,P026,2.957,3671.15
63,FR-001,P016,3.698,2683.15
63,FR-001,P019,1.847,5152.69
64,FR-001,P023,4.253,2068.71
64,FR-001,P020,3.732,8754.39
64,FR-001,P012,4.41,6583.14
65,FR-001,P015,1.167,5107.98
65,FR-001,P024,0.769,7540.09
66,FR-001,P022,0.933,3951.28
66,FR-001,P024,3.714,7540.09
66,FR-001,P026,2.763,3671.15
67,FR-001,P005,1.579,3436.6
67,FR-001,P022,0.362,3951.28
68,FR-001,P013,4.593,2887.94
68,FR-001,P022,2.51,3951.28
69,FR-001,P015,2.191,5107.98
70,FR-001,P023,3.415,2068.71
70,FR-001,P001,4.898,3623.94
70,FR-001,P025,1.571,2230.34
71,FR-001,P022,0.634,3951.28
71,FR-001,P012,2.874,6583.14
71,FR-001,P004,1.349,2175.21
72,FR-001,P004,4.833,2175.21
73,FR-001,P001,4.38,3623.94
73,FR-001,P005,0.873,3436.6
73,FR-001,P023,3.663,2068.71
74,FR-001,P002,3.931,2583.81
74,FR-001,P016,1.637,2683.15
75,FR-001,P019,4.017,5152.69
75,FR-001,P012,4.677,6583.14
75,FR-001,P006,4.892,3327.57
76,FR-001,P015,4.673,5107.98
76,FR-001,P025,2.245,2230.34
77,FR-001,P006,1.248,3327.57
77,FR-001,P007,3.571,8153.66
77,FR-001,P020,1.281,8754.39
78,FR-001,P021,1.169,5382.5
78,FR-001,P015,3.991,5107.98
79,FR-001,P017,3.906,3991.58
79,FR-001,P007,2.998,8153.66
79,FR-001,P020,0.629,8754.39
79,FR-001,P014,4.803,7229.51
80,FR-001,P002,0.307,2583.81
81,FR-001,P001,1.034,3623.94
81,FR-001,P016,1.473,2683.15
81,FR-001,P015,4.497,5107.98
81,FR-001,P025,3.227,2230.34
82,FR-001,P019,4.863,5152.69
82,FR-001,P022,4.651,3951.28
82,FR-001,P026,1.881,3671.15
82,FR-001,P013,4.404,2887.94
83,FR-001,P012,4.537,6583.14
84,FR-001,P004,1.941,2175.21
84,FR-001,P001,0.27,3623.94
85,FR-001,P003,2.403,7536.54
85,FR-001,P018,0.394,3257.14
86,FR-001,P002,1.246,2583.81
86,FR-001,P016,1.356,2683.15
86,FR-001,P020,2.384,8754.39
87,FR-001,P004,3.158,2175.21
87,FR-001,P005,4.947,3436.6
88,FR-001,P003,2.707,7536.54
88,FR-001,P024,0.495,7540.09
88,FR-001,P010,4.899,1954.6
89,FR-001,P022,2.406,3951.28
89,FR-001,P023,4.584,2068.71
90,FR-001,P020,0.377,8754.39
90,FR-001,P021,0.96,5382.5
90,FR-001,P023,2.835,2068.71
91,FR-001,P006,2.914,3327.57
91,FR-001,P001,3.234,3623.94
92,FR-001,P006,4.733,3327.57
93,FR-001,P017,3.026,3991.58
94,FR-001,P012,3.082,6583.14
94,FR-001,P006,3.305,3327.57
94,FR-001,P008,1.786,2661.77
95,FR-001,P025,1.246,2230.34
95,FR-001,P002,4.111,2583.81
95,FR-001,P005,4.101,3436.6
95,FR-001,P008,4.558,2661.77
96,FR-001,P012,3.2,6583.14
96,FR-001,P004,1.189,2175.21
96,FR-001,P015,1.184,5107.98
96,FR-001,P026,4.14,3671.15
97,FR-001,P026,2.311,3671.15
98,FR-001,P015,1.847,5107.98
99,FR-001,P026,1.578,3671.15
99,FR-001,P024,4.747,7540.09
100,FR-001,P002,2.358,2583.81
101,FR-001,P016,3.578,2683.15
101,FR-001,P021,2.552,5382.5
101,FR-001,P012,1.868,6583.14
101,FR-001,P017,2.821,3991.58
102,FR-001,P010,1.842,1954.6
103,FR-001,P020,4.531,8754.39
103,FR-001,P015,2.106,5107.98
103,FR-001,P006,3.205,3327.57
104,FR-001,P005,2.289,3436.6
104,FR-001,P015,1.861,5107.98
104,FR-001,P006,2.816,3327.57
104,FR-001,P017,0.843,3991.58
105,FR-001,P002,4.018,2583.81
105,FR-001,P010,4.615,1954.6
106,FR-001,P025,4.588,2230.34
106,FR-001,P022,3.489,3951.28
106,FR-001,P011,3.522,5701.69
107,FR-001,P004,4.415,2175.21
107,FR-001,P016,1.489,2683.15
108,FR-001,P010,4.382,1954.6
108,FR-001,P020,4.327,8754.39
109,FR-001,P004,4.424,2175.21
109,FR-001,P014,4.751,7229.51
109,FR-001,P026,3.823,3671.15
110,FR-001,P015,4.498,5107.98
110,FR-001,P009,2.909,2340.99
110,FR-001,P002,4.416,2583.81
110,FR-001,P018,2.242,3257.14
111,FR-001,P018,1.536,3257.14
111,FR-001,P011,0.608,5701.69
111,FR-001,P015,3.819,5107.98
112,FR-001,P013,3.317,2887.94
113,FR-001,P021,4.761,5382.5
113,FR-001,P005,2.644,3436.6
113,FR-001,P014,3.218,7229.51
113,FR-001,P010,3.352,1954.6
114,FR-001,P018,2.409,3257.14
114,FR-001,P020,0.499,8754.39
114,FR-001,P011,4.843,5701.69
114,FR-001,P007,1.574,8153.66
115,FR-001,P004,3.768,2175.21
115,FR-001,P014,1.943,7229.51
116,FR-001,P009,4.936,2340.99
116,FR-001,P008,2.333,2661.77
117,FR-001,P009,2.342,2340.99
118,FR-001,P002,3.049,2583.81
118,FR-001,P016,2.098,2683.15
118,FR-001,P021,0.574,5382.5
119,FR-001,P012,1.098,6583.14
119,FR-001,P013,2.303,2887.94
119,FR-001,P026,3.562,3671.15
119,FR-001,P019,3.05,5152.69
120,FR-001,P025,3.943,2230.34
121,FR-001,P022,1.005,3951.28
121,FR-001,P024,4.776,7540.09
122,FR-001,P025,0.92,2230.34
122,FR-001,P016,2.1,2683.15
122,FR-001,P004,2.548,2175.21
123,FR-001,P003,4.3,7536.54
123,FR-001,P005,0.273,3436.6
124,FR-001,P015,4.347,5107.98
124,FR-001,P022,1.907,3951.28
124,FR-001,P017,3.038,3991.58
125,FR-001,P008,1.698,2661.77
125,FR-001,P005,1.867,3436.6
125,FR-001,P023,2.095,2068.71
126,FR-001,P001,3.007,3623.94
127,FR-001,P026,3.353,3671.15
127,FR-001,P018,0.469,3257.14
127,FR-001,P007,4.78,8153.66
127,FR-001,P014,0.396,7229.51
128,FR-001,P003,2.177,7536.54
128,FR-001,P008,3.358,2661.77
128,FR-001,P021,0.844,5382.5
129,FR-001,P014,1.518,7229.51
129,FR-001,P024,4.478,7540.09
129,FR-001,P018,3.11,3257.14
130,FR-001,P024,3.748,7540.09
130,FR-001,P026,4.056,3671.15
130,FR-001,P015,2.274,5107.98
130,FR-001,P001,0.368,3623.94
131,FR-001,P013,3.989,2887.94
131,FR-001,P004,1.426,2175.21
131,FR-001,P009,2.364,2340.99
132,FR-001,P024,4.372,7540.09
133,FR-001,P010,2.329,1954.6
133,FR-001,P007,3.387,8153.66
133,FR-001,P013,3.275,2887.94
133,FR-001,P018,4.276,3257.14
134,FR-001,P008,2.324,2661.77
134,FR-001,P017,4.406,3991.58
134,FR-001,P023,4.556,2068.71
134,FR-001,P015,4.487,5107.98
135,FR-001,P026,1.794,3671.15
135,FR-001,P010,4.868,1954.6
135,FR-001,P001,4.208,3623.94
135,FR-001,P024,2.326,7540.09
136,FR-001,P010,2.811,1954.6
136,FR-001,P025,2.622,2230.34
137,FR-001,P006,1.967,3327.57
137,FR-001,P016,1.361,2683.15
137,FR-001,P017,0.552,3991.58
138,FR-001,P006,1.477,3327.57
138,FR-001,P014,2.967,7229.51
138,FR-001,P007,0.64,8153.66
138,FR-001,P023,1.015,2068.71
139,FR-001,P019,2.74,5152.69
139,FR-001,P026,4.244,3671.15
140,FR-001,P004,2.925,2175.21
140,FR-001,P011,0.363,5701.69
141,FR-001,P023,3.394,2068.71
141,FR-001,P004,0.282,2175.21
141,FR-001,P007,3.662,8153.66
141,FR-001,P005,4.753,3436.6
142,FR-001,P014,2.544,7229.51
142,FR-001,P015,1.976,5107.98
142,FR-001,P026,4.181,3671.15
143,FR-001,P004,3.337,2175.21
143,FR-001,P024,2.054,7540.09
143,FR-001,P015,0.284,5107.98
144,FR-001,P014,4.23,7229.51
144,FR-001,P018,2.989,3257.14
144,FR-001,P019,4.487,5152.69
145,FR-001,P022,2.341,3951.28
145,FR-001,P024,2.153,7540.09
145,FR-001,P010,4.623,1954.6
145,FR-001,P012,4.141,6583.14
146,FR-001,P012,2.078,6583.14
146,FR-001,P016,4.341,2683.15
146,FR-001,P024,2.533,7540.09
146,FR-001,P014,2.122,7229.51
147,FR-001,P005,3.438,3436.6
147,FR-001,P001,4.66,3623.94
147,FR-001,P017,4.287,3991.58
148,FR-001,P019,1.727,5152.69
148,FR-001,P014,4.432,7229.51
149,FR-001,P003,1.978,7536.54
149,FR-001,P016,1.616,2683.15
150,FR-001,P017,2.631,3991.58
150,FR-001,P005,4.981,3436.6
150,FR-001,P019,2.473,5152.69
150,FR-001,P018,1.671,3257.14
151,FR-001,P005,2.298,3436.6
151,FR-001,P006,3.513,3327.57
151,FR-001,P001,2.882,3623.94
152,FR-001,P014,4.479,7229.51
153,FR-001,P026,2.749,3671.15
153,FR-001,P022,3.979,3951.28
153,FR-001,P008,1.559,2661.77
153,FR-001,P021,0.543,5382.5
154,FR-001,P005,3.025,3436.6
154,FR-001,P010,1.417,1954.6
154,FR-001,P014,4.05,7229.51
154,FR-001,P007,0.667,8153.66
155,FR-001,P007,0.673,8153.66
156,FR-001,P019,1.399,5152.69
156,FR-001,P008,0.344,2661.77
157,FR-001,P004,4.628,2175.21
158,FR-001,P022,1.93,3951.28
158,FR-001,P001,2.633,3623.94
158,FR-001,P013,1.786,2887.94
159,FR-001,P011,1.625,5701.69
159,FR-001,P012,0.979,6583.14
159,FR-001,P005,2.115,3436.6
159,FR-001,P023,1.882,2068.71
160,FR-001,P007,2.423,8153.66
160,FR-001,P014,1.452,7229.51
160,FR-001,P020,2.41,8754.39
161,FR-001,P011,4.703,5701.69
161,FR-001,P003,4.799,7536.54
162,FR-001,P021,2.417,5382.5
162,FR-001,P017,4.646,3991.58
163,FR-001,P011,4.852,5701.69
163,FR-001,P012,4.787,6583.14
164,FR-001,P008,4.245,2661.77
164,FR-001,P022,3.632,3951.28
164,FR-001,P007,2.982,8153.66
164,FR-001,P026,3.625,3671.15
165,FR-001,P022,3.353,3951.28
165,FR-001,P009,4.636,2340.99
165,FR-001,P003,1.803,7536.54
165,FR-001,P015,3.492,5107.98
166,FR-001,P025,4.156,2230.34
167,FR-001,P009,4.688,2340.99
167,FR-001,P014,1.706,7229.51
168,FR-001,P014,1.181,7229.51
168,FR-001,P023,4.058,2068.71
168,FR-001,P006,3.499,3327.57
168,FR-001,P019,2.799,5152.69
169,FR-001,P014,4.335,7229.51
169,FR-001,P017,4.223,3991.58
170,FR-001,P019,2.537,5152.69
170,FR-001,P015,3.703,5107.98
170,FR-001,P007,3.129,8153.66
170,FR-001,P014,4.936,7229.51
171,FR-001,P001,0.873,3623.94
172,FR-001,P003,3.478,7536.54
172,FR-001,P020,4.985,8754.39
172,FR-001,P025,1.736,2230.34
172,FR-001,P002,3.671,2583.81
173,FR-001,P007,2.815,8153.66
174,FR-001,P006,4.337,3327.57
174,FR-001,P004,1.985,2175.21
174,FR-001,P005,0.607,3436.6
174,FR-001,P025,0.447,2230.34
175,FR-001,P024,1.065,7540.09
175,FR-001,P026,1.698,3671.15
175,FR-001,P013,4.935,2887.94
176,FR-001,P014,0.965,7229.51
176,FR-001,P023,0.696,2068.71
176,FR-001,P006,1.849,3327.57
177,FR-001,P007,3.108,8153.66
177,FR-001,P021,4.931,5382.5
177,FR-001,P026,1.926,3671.15
177,FR-001,P008,2.729,2661.77
178,FR-001,P007,2.07,8153.66
178,FR-001,P024,1.784,7540.09
178,FR-001,P005,3.45,3436.6
179,FR-001,P001,3.305,3623.94
179,FR-001,P008,1.741,2661.77
179,FR-001,P002,4.736,2583.81
180,FR-001,P003,4.496,7536.54
180,FR-001,P022,0.541,3951.28
180,FR-001,P009,4.45,2340.99
181,FR-001,P007,0.484,8153.66
181,FR-001,P025,1.58,2230.34
181,FR-001,P012,0.319,6583.14
182,FR-001,P024,4.723,7540.09
182,FR-001,P008,2.699,2661.77
183,FR-001,P001,4.657,3623.94
183,FR-001,P005,1.211,3436.6
183,FR-001,P009,0.364,2340.99
183,FR-001,P010,3.194,1954.6
184,FR-001,P016,1.076,2683.15
184,FR-001,P004,3.469,2175.21
184,FR-001,P022,3.587,3951.28
184,FR-001,P018,1.397,3257.14
185,FR-001,P025,2.505,2230.34
185,FR-001,P016,3.305,2683.15
186,FR-001,P014,2.344,7229.51
186,FR-001,P012,0.558,6583.14
186,FR-001,P011,0.855,5701.69
186,FR-001,P009,1.946,2340.99
187,FR-001,P011,2.898,5701.69
187,FR-001,P010,0.757,1954.6
188,FR-001,P006,4.568,3327.57
189,FR-001,P014,1.424,7229.51
189,FR-001,P004,1.281,2175.21
189,FR-001,P011,3.917,5701.69
189,FR-001,P022,3.789,3951.28
190,FR-001,P020,1.101,8754.39
190,FR-001,P009,3.612,2340.99
191,FR-001,P003,0.53,7536.54
191,FR-001,P012,3.298,6583.14
192,FR-001,P009,3.274,2340.99
192,FR-001,P008,2.955,2661.77
193,FR-001,P006,2.813,3327.57
193,FR-001,P016,3.162,2683.15
193,FR-001,P020,4.455,8754.39
193,FR-001,P024,2.645,7540.09
194,FR-001,P026,1.147,3671.15
194,FR-001,P015,3.598,5107.98
194,FR-001,P016,4.203,2683.15
195,FR-001,P020,1.3,8754.39
195,FR-001,P002,4.615,2583.81
196,FR-001,P015,3.097,5107.98
196,FR-001,P012,2.945,6583.14
197,FR-001,P015,4.757,5107.98
197,FR-001,P022,4.06,3951.28
197,FR-001,P003,0.65,7536.54
198,FR-001,P014,4.717,7229.51
199,FR-001,P006,4.208,3327.57
199,FR-001,P002,3.604,2583.81
200,FR-001,P020,0.268,8754.39
200,FR-001,P003,1.562,7536.54
200,FR-001,P002,1.444,2583.81
201,FR-001,P009,1.442,2340.99
201,FR-001,P007,4.163,8153.66
201,FR-001,P013,3.807,2887.94
201,FR-001,P010,2.926,1954.6
202,FR-001,P009,0.95,2340.99
203,FR-001,P021,0.518,5382.5
204,FR-001,P006,2.14,3327.57
204,FR-001,P015,2.626,5107.98
205,FR-001,P006,0.473,3327.57
205,FR-001,P015,3.229,5107.98
205,FR-001,P017,4.537,3991.58
206,FR-001,P018,0.756,3257.14
206,FR-001,P011,3.108,5701.69
206,FR-001,P022,1.287,3951.28
206,FR-001,P016,2.817,2683.15
207,FR-001,P007,0.457,8153.66
207,FR-001,P002,0.456,2583.81
207,FR-001,P001,0.535,3623.94
208,FR-001,P021,1.875,5382.5
208,FR-001,P005,3.722,3436.6
209,FR-001,P021,1.598,5382.5
209,FR-001,P016,2.006,2683.15
209,FR-001,P015,2.213,5107.98
209,FR-001,P011,2.527,5701.69
210,FR-001,P015,1.396,5107.98
210,FR-001,P021,1.553,5382.5
210,FR-001,P001,2.25,3623.94
211,FR-001,P008,3.631,2661.77
211,FR-001,P006,4.145,3327.57
212,FR-001,P021,3.433,5382.5
212,FR-001,P026,4.314,3671.15
212,FR-001,P025,2.76,2230.34
213,FR-001,P011,1.659,5701.69
214,FR-001,P011,2.461,5701.69
214,FR-001,P004,2.602,2175.21
215,FR-001,P025,1.991,2230.34
215,FR-001,P003,3.991,7536.54
215,FR-001,P017,4.255,3991.58
216,FR-001,P013,3.592,2887.94
216,FR-001,P019,2.94,5152.69
216,FR-001,P022,4.587,3951.28
216,FR-001,P012,2.19,6583.14
217,FR-001,P001,4.627,3623.94
217,FR-001,P002,4.612,2583.81
217,FR-001,P026,1.336,3671.15
217,FR-001,P021,1.29,5382.5
218,FR-001,P005,4.254,3436.6
218,FR-001,P006,3.75,3327.57
218,FR-001,P019,2.7,5152.69
219,FR-001,P003,2.929,7536.54
219,FR-001,P001,1.124,3623.94
220,FR-001,P003,1.858,7536.54
220,FR-001,P024,2.53,7540.09
220,FR-001,P009,3.042,2340.99
221,FR-001,P024,3.296,7540.09
221,FR-001,P007,1.342,8153.66
221,FR-001,P015,2.133,5107.98
222,FR-001,P010,0.934,1954.6
223,FR-001,P010,3.189,1954.6
223,FR-001,P007,2.491,8153.66
223,FR-001,P002,2.839,2583.81
223,FR-001,P006,1.298,3327.57
224,FR-001,P005,0.928,3436.6
224,FR-001,P006,0.327,3327.57
224,FR-001,P019,3.951,5152.69
224,FR-001,P018,1.968,3257.14
225,FR-001,P010,1.153,1954.6
225,FR-001,P022,0.976,3951.28
226,FR-001,P003,3.652,7536.54
227,FR-001,P019,2.896,5152.69
227,FR-001,P013,0.371,2887.94
227,FR-001,P005,4.075,3436.6
228,FR-001,P007,4.625,8153.66
228,FR-001,P020,2.472,8754.39
228,FR-001,P002,4.686,2583.81
229,FR-001,P025,2.425,2230.34
229,FR-001,P016,3.213,2683.15
229,FR-001,P013,0.489,2887.94
230,FR-001,P017,2.297,3991.58
230,FR-001,P005,2.113,3436.6
230,FR-001,P010,3.136,1954.6
230,FR-001,P013,3.517,2887.94
231,FR-001,P022,1.719,3951.28
231,FR-001,P001,2.711,3623.94
231,FR-001,P019,2.651,5152.69
231,FR-001,P021,4.424,5382.5
232,FR-001,P024,1.803,7540.09
232,FR-001,P001,3.002,3623.94
232,FR-001,P017,1.837,3991.58
233,FR-001,P006,1.126,3327.57
233,FR-001,P019,2.057,5152.69
233,FR-001,P016,3.816,2683.15
233,FR-001,P026,0.945,3671.15
234,FR-001,P015,2.567,5107.98
234,FR-001,P024,3.252,7540.09
234,FR-001,P006,1.695,3327.57
235,FR-001,P018,2.499,3257.14
235,FR-001,P023,0.511,2068.71
235,FR-001,P020,3.49,8754.39
235,FR-001,P006,2.471,3327.57
236,FR-001,P009,1.444,2340.99
236,FR-001,P021,4.42,5382.5
237,FR-001,P014,1.929,7229.51
237,FR-001,P013,4.702,2887.94
237,FR-001,P004,1.667,2175.21
237,FR-001,P002,3.712,2583.81
238,FR-001,P003,4.383,7536.54
238,FR-001,P018,2.13,3257.14
238,FR-001,P002,2.635,2583.81
238,FR-001,P013,2.857,2887.94
239,FR-001,P020,3.831,8754.39
239,FR-001,P006,3.481,3327.57
239,FR-001,P009,4.032,2340.99
239,FR-001,P001,3.338,3623.94
240,FR-001,P003,3.203,7536.54
240,FR-001,P017,1.789,3991.58
240,FR-001,P014,4.05,7229.51
241,FR-001,P022,1.547,3951.28
241,FR-001,P010,4.288,1954.6
242,FR-001,P023,1.368,2068.71
242,FR-001,P021,0.732,5382.5
243,FR-001,P018,0.826,3257.14
243,FR-001,P001,3.002,3623.94
244,FR-001,P009,2.249,2340.99
244,FR-001,P016,0.574,2683.15
245,FR-001,P021,4.613,5382.5
245,FR-001,P026,2.596,3671.15
246,FR-001,P020,4.856,8754.39
246,FR-001,P026,2.867,3671.15
246,FR-001,P008,0.261,2661.77
246,FR-001,P021,3.936,5382.5
247,FR-001,P026,0.615,3671.15
247,FR-001,P001,1.272,3623.94
248,FR-001,P006,0.978,3327.57
248,FR-001,P001,3.005,3623.94
248,FR-001,P021,1.978,5382.5
249,FR-001,P007,1.401,8153.66
250,FR-001,P021,3.475,5382.5
250,FR-001,P025,1.633,2230.34
250,FR-001,P022,0.273,3951.28
250,FR-001,P007,2.878,8153.66
251,FR-001,P006,2.554,3327.57
252,FR-001,P004,3.075,2175.21
252,FR-001,P018,2.276,3257.14
253,FR-001,P002,1.119,2583.81
253,FR-001,P004,1.901,2175.21
254,FR-001,P022,3.923,3951.28
255,FR-001,P021,3.563,5382.5
255,FR-001,P011,0.315,5701.69
255,FR-001,P013,3.571,2887.94
255,FR-001,P019,3.529,5152.69
256,FR-001,P015,2.037,5107.98
257,FR-001,P025,4.71,2230.34
257,FR-001,P006,4.287,3327.57
258,FR-001,P009,3.975,2340.99
258,FR-001,P007,2.674,8153.66
259,FR-001,P004,1.602,2175.21
259,FR-001,P012,2.591,6583.14
259,FR-001,P003,2.318,7536.54
259,FR-001,P011,0.798,5701.69
260,FR-001,P021,2.398,5382.5
260,FR-001,P002,0.884,2583.81
260,FR-001,P023,0.918,2068.71
260,FR-001,P018,4.845,3257.14
261,FR-001,P009,0.503,2340.99
262,FR-001,P018,4.682,3257.14
263,FR-001,P010,3.639,1954.6
263,FR-001,P021,3.297,5382.5
264,FR-001,P007,0.788,8153.66
264,FR-001,P006,3.414,3327.57
265,FR-001,P006,3.565,3327.57
265,FR-001,P009,2.845,2340.99
266,FR-001,P022,3.832,3951.28
266,FR-001,P024,1.138,7540.09
267,FR-001,P013,3.364,2887.94
267,FR-001,P006,0.454,3327.57
267,FR-001,P012,1.029,6583.14
267,FR-001,P005,1.296,3436.6
268,FR-001,P014,2.47,7229.51
269,FR-001,P024,2.763,7540.09
269,FR-001,P010,4.55,1954.6
269,FR-001,P006,1.272,3327.57
270,FR-001,P022,3.848,3951.28
270,FR-001,P001,2.154,3623.94
270,FR-001,P004,2.651,2175.21
270,FR-001,P024,0.786,7540.09
271,FR-001,P015,2.204,5107.98
271,FR-001,P026,0.895,3671.15
271,FR-001,P024,3.09,7540.09
271,FR-001,P018,1.103,3257.14
272,FR-001,P011,1.147,5701.69
273,FR-001,P009,2.352,2340.99
273,FR-001,P025,3.954,2230.34
273,FR-001,P006,1.061,3327.57
273,FR-001,P014,0.444,7229.51
274,FR-001,P003,4.083,7536.54
274,FR-001,P016,4.728,2683.15
274,FR-001,P022,1.241,3951.28
275,FR-001,P010,4.741,1954.6
276,FR-001,P003,2.729,7536.54
276,FR-001,P020,3.952,8754.39
